"id","name","description","notes","easyScore","createdAt","updatedAt"
51,"Fdim",,"F4 Ab4 Cb5","(F4 Ab4 Cb5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
52,"Fm7b5",,"F4 Ab4 Cb5 Eb5","(F4 Ab4 Cb5 Eb5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
53,"Fdim7",,"F4 Ab4 Cb5 Ebb5","(F4 Ab4 Cb5 Ebb5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
54,"Faug",,"F4 A4 C#5","(F4 A4 C#5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
55,"Bb",,"Bb3 D4 F4","(Bb3 D4 F4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
56,"Bbmaj7",,"Bb3 D4 F4 A4","(Bb3 D4 F4 A4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
57,"Bb7",,"Bb3 D4 F4 Ab4","(Bb3 D4 F4 Ab4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
58,"Bbm",,"Bb3 Db4 F4","(Bb3 Db4 F4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
59,"Bbmin7",,"Bb3 Db4 F4 Ab4","(Bb3 Db4 F4 Ab4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
60,"Bbdim",,"Bb3 Db4 Fb4","(Bb3 Db4 Fb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
61,"Bbm7b5",,"Bb3 Db4 Fb4 Ab4","(Bb3 Db4 Fb4 Ab4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
62,"Bbdim7",,"Bb3 Db4 Fb4 Abb4","(Bb3 Db4 Fb4 Abb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
63,"Bbaug",,"Bb3 D4 F#4","(Bb3 D4 F#4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
64,"Eb",,"Eb4 G4 Bb54","(Eb4 G4 Bb54)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
65,"Ebmaj7",,"Eb4 G4 Bb4 D4","(Eb4 G4 Bb4 D4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
66,"Eb7",,"Eb4 G4 Bb4 Db5","(Eb4 G4 Bb4 Db5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
67,"Ebm",,"Eb4 Gb4 Bb4","(Eb4 Gb4 Bb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
68,"Ebmin7",,"Eb4 Gb4 Bb4 Db5","(Eb4 Gb4 Bb4 Db5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
69,"Ebdim",,"Eb4 Gb4 Bbb4","(Eb4 Gb4 Bbb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
70,"Ebm7b5",,"Eb4 Gb4 Bbb4 Db5","(Eb4 Gb4 Bbb4 Db5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
71,"Ebdim7",,"Eb4 Gb4 Bbb4 Dbb5","(Eb4 Gb4 Bbb4 Dbb5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
72,"Ebaug",,"Eb4 G4 B4","(Eb4 G4 B4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
